Rank,Name,Year,Genre,Publisher,Global_Sales
12940,FIFA 17,2016,Sports,Electronic Arts,50000
12948,Hunted: The Demon's Forge,2011,Action,Bethesda Softworks,50000
12954,The Bureau: XCOM Declassified,2013,Shooter,Take-Two Interactive,50000
12964,Cities in Motion,2011,Simulation,Paradox Interactive,50000
13023,Microsoft Flight Simulator X Acceleration Expansion Pack,2007,Simulation,Microsoft Game Studios,50000
13025,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment,50000
13034,Plants vs. Zombies,2009,Strategy,PopCap Games,50000
13040,Star Wars: Republic Commando,2005,Shooter,LucasArts,50000
13045,Bejeweled Twist,2008,Puzzle,PopCap Games,50000
13046,Street Fighter V,2016,Fighting,Capcom,50000
13052,Sherlock Holmes: Crimes & Punishments,2014,Adventure,Focus Home Interactive,50000
13059,Men of War: Assault Squad,2011,Strategy,1C Company,50000
13102,Mirror's Edge Catalyst,2016,Platform,Electronic Arts,50000
13105,LEGO The Hobbit,2014,Action,Warner Bros. Interactive Entertainment,50000
13129,DiRT 2,2009,Racing,Codemasters,50000
13136,Singularity,2010,Shooter,Mastertronic,50000
13141,"Warhammer 40,000: Dawn of War",2004,Strategy,THQ,50000
13153,Need for Speed Carbon,2006,Racing,Electronic Arts,50000
13169,Empire Earth,2001,Strategy,Vivendi Games,50000
13181,Freelancer,2003,Simulation,Microsoft Game Studios,50000
13183,Operation Flashpoint: Dragon Rising,2009,Shooter,Codemasters,50000
13191,LEGO Indiana Jones 2: The Adventure Continues,2009,Action,Activision,50000
13199,Sesame Street: Cookie's Counting Carnival,2010,Misc,Warner Bros. Interactive Entertainment,50000
13227,Need for Speed Underground,2003,Racing,Electronic Arts,50000
13230,Worms Reloaded,2010,Strategy,Team17 Software,50000
13231,StarCraft,1998,Strategy,Activision,50000
13252,Far Cry,2004,Shooter,Ubisoft,50000
13271,Ship Simulator Extremes,2010,Simulation,Paradox Interactive,50000
13276,FIFA Soccer 10,2009,Sports,Electronic Arts,50000
13289,The Sims,2000,Simulation,Electronic Arts,50000
13299,Payday 2,2013,Shooter,505 Games,50000
13300,Grand Ages: Medieval,2015,Strategy,Kalypso Media,50000
13303,Company of Heroes,2006,Strategy,THQ,50000
13308,Silent Hunter: Wolves of the Pacific,2007,Simulation,Ubisoft,50000
13323,Jonah Lomu Rugby Challenge,2011,Sports,Home Entertainment Suppliers,50000
13331,Microsoft Train Simulator,2001,Simulation,Microsoft Game Studios,50000
13340,Supreme Commander,2007,Strategy,THQ,50000
13342,F1 2015,2015,Racing,Codemasters,50000
13360,FIFA Manager 12,2011,Sports,Electronic Arts,50000
13370,Mafia,2002,Action,Take-Two Interactive,50000
13376,Black Mirror 2,2009,Adventure,DTP Entertainment,50000
13405,City Life: World Edition,2007,Simulation,Monte Christo Multimedia,50000
13408,Wolfenstein,2009,Shooter,Activision,50000
13420,Sesame Street: Elmo's A-to-Zoo Adventure,2010,Misc,Warner Bros. Interactive Entertainment,50000
13430,Tropico 3,2009,Strategy,Kalypso Media,50000
13432,Avatar: The Game,2009,Action,Ubisoft,50000
13438,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,50000
13444,Secret Files: Tunguska,2006,Adventure,DreamCatcher Interactive,50000
13456,Jewel Master: Cradle Of Rome 2,2011,Puzzle,Rising Star Games,40000
13467,Runaway: A Twist of Fate,2009,Adventure,Focus Home Interactive,40000
13485,Tom Clancy's HAWX,2009,Action,Ubisoft,40000
13496,Praetorians,2003,Strategy,Eidos Interactive,40000
13501,Resident Evil 6,2012,Shooter,Capcom,40000
13506,IL-2 Sturmovik: 1946,2006,Simulation,Ubisoft,40000
13539,Split/Second,2010,Racing,Disney Interactive Studios,40000
13553,Jewel Quest 5: The Sleepless Star,2011,Action,Astragon,40000
13564,Life is Strange,2016,Adventure,Square Enix,40000
13565,Need for Speed: ProStreet,2007,Racing,Electronic Arts,40000
13568,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,40000
13597,LEGO Indiana Jones: The Original Adventures,2008,Action,LucasArts,40000
13618,The Sims 2: Pets,2006,Simulation,Electronic Arts,40000
13624,The Sims Deluxe,2002,Simulation,Electronic Arts,40000
13625,Port Royale 2,2004,Strategy,Ascaron Entertainment GmbH,40000
13632,Black & White,2001,Strategy,Electronic Arts,40000
13633,NCIS,2011,Adventure,Ubisoft,40000
13635,Company of Heroes: Tales of Valor,2009,Strategy,THQ,40000
13640,Devil May Cry 4,2008,Action,Capcom,40000
13660,Heroes of Might and Magic V,2006,Strategy,Ubisoft,40000
13664,Virtua Tennis 4,2011,Sports,Sega,40000
13666,Farm Frenzy 3,2009,Strategy,Alawar Entertainment,40000
13673,Major League Baseball 2K12,2012,Sports,Take-Two Interactive,40000
13679,Imperial Glory,2005,Strategy,Eidos Interactive,40000
13684,Sonic PC Collection,2009,Misc,Sega,40000
13688,Lost Planet 3,2013,Shooter,Capcom,40000
13694,Rise of Nations,2003,Strategy,Microsoft Game Studios,40000
13705,Company of Heroes: Opposing Fronts,2007,Strategy,THQ,40000
13711,Men of War: Vietnam,2011,Strategy,Unknown,40000
13726,Off-Road Drive,2011,Racing,1C Company,40000
13734,Grand Theft Auto: Vice City,2003,Action,Take-Two Interactive,40000
13753,Resident Evil: Operation Raccoon City,2012,Action,Capcom,40000
13774,Empire Earth III,2007,Strategy,Vivendi Games,40000
13786,Guild Wars Trilogy,2005,Role-Playing,NCSoft,40000
13787,Patrician IV,2010,Strategy,Kalypso Media,40000
13793,CSI: Fatal Conspiracy,2010,Adventure,Ubisoft,40000
13808,Resident Evil: Revelations,2013,Action,Capcom,40000
13827,Castlevania: Lords of Shadow 2,2014,Action,Konami Digital Entertainment,40000
13833,All Points Bulletin,2010,Role-Playing,Electronic Arts,40000
13835,The Movies,2005,Simulation,Activision,40000
13838,The Sims 4: Spa Day,2015,Simulation,Electronic Arts,40000
13841,JASF: Jane's Advanced Strike Fighters,2011,Simulation,Deep Silver,40000
13851,Scarface: The World is Yours,2006,Action,Vivendi Games,40000
13852,Blood Bowl,2009,Sports,Focus Home Interactive,40000
13854,Supreme Commander: Forged Alliance,2007,Strategy,THQ,40000
13858,Sid Meier's Railroads!,2006,Simulation,Take-Two Interactive,40000
13871,Caesar IV,2006,Strategy,Vivendi Games,40000
13876,Harry Potter and the Order of the Phoenix,2007,Action,Electronic Arts,40000
13886,Halo: Combat Evolved,2003,Shooter,Microsoft Game Studios,40000
13894,Richard Burns Rally,2004,Racing,SCi,40000
13906,Saints Row 2,2009,Action,THQ,40000
13907,Harry Potter and the Prisoner of Azkaban,2004,Action,Electronic Arts,40000
13912,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,40000
13913,Secret Files 2: Puritas Cordis,2009,Adventure,Deep Silver,40000
13918,Civilization Beyond Earth: Rising Tide,2015,Strategy,Take-Two Interactive,40000
13932,Train Simulator 2016,2015,Simulation,Unknown,40000
13947,APB Reloaded,2011,Role-Playing,Iceberg Interactive,40000
13948,Railroad Tycoon 3,2003,Strategy,Gathering of Developers,40000
13982,Trine 2,2011,Platform,Focus Home Interactive,40000
13985,Worms: Ultimate Mayhem,2011,Strategy,Unknown,40000
13992,The Night of the Rabbit,2013,Adventure,Daedalic Entertainment,40000
14003,Age of Mythology: The Titans,2003,Strategy,Microsoft Game Studios,40000
14013,World of Goo,2008,Puzzle,2D Boy,40000
14020,World in Conflict,2007,Strategy,Vivendi Games,40000
14023,S.T.A.L.K.E.R.: Clear Sky,2008,Shooter,Deep Silver,40000
14030,World in Conflict: Complete Edition,2009,Strategy,Ubisoft,40000
14038,Caesar III,1998,Strategy,Vivendi Games,40000
14041,Tomb Raider: Anniversary,2007,Action,Eidos Interactive,40000
14051,Gothic Universe,2007,Role-Playing,JoWood Productions,40000
14053,Alpha Protocol,2010,Role-Playing,Sega,40000
14056,DarkStar One,2006,Simulation,Ubisoft,40000
14065,Sins of a Solar Empire: Trinity,2010,Strategy,Kalypso Media,40000
14073,Planescape: Torment,1998,Role-Playing,Interplay,40000
14076,Hello Kitty: Roller Rescue,2005,Action,Empire Interactive,40000
14078,A Game of Thrones: Genesis,2011,Strategy,Focus Home Interactive,40000
14079,Hotel Giant 2,2008,Strategy,JoWood Productions,40000
14084,Hitman: Blood Money,2006,Action,Eidos Interactive,40000
14086,The Cursed Crusade,2011,Action,DTP Entertainment,40000
14091,Star Wars Jedi Knight: Jedi Academy,2003,Shooter,Activision,40000
14097,Might & Magic X: Legacy,2014,Role-Playing,Ubisoft,40000
14112,Supreme Ruler: Cold War,2011,Strategy,Paradox Interactive,30000
14125,Apache: Air Assault,2010,Simulation,Just Flight,30000
14127,Championship Manager Season 01/02,2001,Sports,Eidos Interactive,30000
14134,The Void,2008,Adventure,Mamba Games,30000
14148,Prey,2006,Shooter,Take-Two Interactive,30000
14161,Rise of Nations: Rise of Legends,2006,Strategy,Microsoft Game Studios,30000
14164,Zoo Tycoon,2001,Strategy,Microsoft Game Studios,30000
14187,Sacra Terra: Angelic Night,2011,Puzzle,Avanquest,30000
14207,Red Faction: Guerrilla,2009,Shooter,THQ,30000
14214,RACE On,2009,Racing,bitComposer Games,30000
14217,Overlord II,2009,Action,Codemasters,30000
14222,Call of Juarez: Bound in Blood,2009,Shooter,Ubisoft,30000
14238,The Sims 2: Glamour Life Stuff,2006,Simulation,Electronic Arts,30000
14241,Prince of Persia: The Forgotten Sands,2010,Action,Ubisoft,30000
14246,Trials Fusion,2014,Racing,Ubisoft,30000
14252,The Binding of Isaac,2012,Action,Unknown,9000000
14256,Midnight Mysteries: The Edgar Allan Poe Conspiracy,2009,Adventure,GSP,30000
14264,SBK 2011: FIM Superbike World Championship,2011,Racing,Black Bean Games,30000
14267,Combat Mission: Shock Force,2007,Strategy,Paradox Interactive,30000
14268,Rome: Total War - Gold Edition,2006,Strategy,Sega,30000
14270,Mystery Case Files: Ravenhearst,2007,Puzzle,Focus Home Interactive,30000
14277,Living Legends: Frozen Beauty,2014,Action,Big Fish Games,30000
14284,Guitar Hero: World Tour,2009,Misc,Aspyr,30000
14285,Nancy Drew: Alibi In Ashes,2011,Adventure,Her Interactive,30000
14286,The Walking Dead: Season One,2012,Adventure,Avanquest Software,30000
14302,Men of War,2009,Strategy,505 Games,30000
14311,Hallowed Legends: Samhain,2011,Adventure,Focus Home Interactive,30000
14330,Neverwinter Nights,2002,Role-Playing,Atari,30000
14331,East India Company Collection,2010,Misc,Paradox Interactive,30000
14333,The Inner World,2013,Adventure,Headup Games,30000
14338,Alter Ego,1985,Simulation,Activision,30000
14369,Lock On: Modern Air Combat,2003,Simulation,Ubisoft,30000
14374,Super Meat Boy: Ultra Edition!,2011,Platform,Unknown,30000
14384,Homeworld 2,2003,Strategy,Vivendi Games,30000
14386,Hearts of Iron IV,2016,Strategy,Paradox Interactive,30000
14391,Rayman 3: Hoodlum Havoc,2003,Platform,Ubisoft,30000
14398,Ratatouille,2007,Action,THQ,30000
14407,Take On Helicopters,2011,Simulation,Unknown,30000
14410,Shaun White Skateboarding,2010,Sports,Ubisoft,30000
14411,Empire Earth II,2005,Strategy,Vivendi Games,30000
14414,NBA 2K13,2012,Sports,Take-Two Interactive,30000
14416,Harry Potter and the Half-Blood Prince,2009,Action,Electronic Arts,30000
14418,Knights of Honor,2004,Strategy,Sunflowers,30000
14424,Codename: Panzers Cold War,2009,Strategy,Atari,30000
14442,Transformers: Devastation,2015,Action,Activision,30000
14450,Section 8,2009,Shooter,SouthPeak Games,30000
14468,Sins of a Solar Empire,2008,Strategy,Pinnacle,30000
14472,Lords of the Fallen,2014,Role-Playing,Square Enix,30000
14483,Resident Evil 4,2007,Action,Ubisoft,30000
14503,GTR Evolution,2008,Racing,Atari,30000
14510,SimCity,1988,Simulation,Maxis,30000
14513,Casino Chaos With Las Vegas Players Collection,2011,Misc,THQ,30000
14519,Doom 3 BFG Edition,2012,Shooter,Bethesda Softworks,30000
14529,Braid,2009,Platform,Number None,30000
14532,Star Wars: The Force Unleashed II,2010,Action,LucasArts,30000
14533,Need for Speed (2015),2016,Racing,Electronic Arts,30000
14543,Commander: Conquest of the Americas,2010,Strategy,Paradox Interactive,30000
14546,Royal Palace of White Sword and The City of Gentiles,2009,Role-Playing,Take-Two Interactive,30000
14550,007: Quantum of Solace,2008,Action,Activision,30000
14558,Pro Cycling Manager 2016,2016,Sports,Focus Home Interactive,30000
14571,Jack Keane,2008,Adventure,Kalypso Media,30000
14572,World of Zoo,2009,Simulation,THQ,30000
14581,Syberia,2002,Action,Microids,30000
14589,Battlefield 1942: The WW II Anthology,2004,Shooter,Electronic Arts,30000
14602,Doom,1992,Shooter,id Software,30000
14630,Monsters vs. Aliens,2009,Action,Activision,30000
14634,The Great Mystery Hidden Object Package 5,2015,Adventure,Rondomedia,30000
14638,Stellaris,2016,Strategy,Paradox Interactive,30000
14645,Mystery Trackers: The Void,2011,Puzzle,Focus Home Interactive,30000
14649,Botanicula,2012,Adventure,Daedalic Entertainment,30000
14656,Age of Conan: Rise of the Godslayer,2010,Role-Playing,Funcom,30000
14657,Totally Spies! Totally Party,2008,Misc,Ubisoft,30000
14658,Battlefield Vietnam,2004,Shooter,Electronic Arts,30000
14666,The Settlers II 10th Anniversary,2006,Action,Ubisoft,30000
14669,Ride,2015,Racing,Milestone S.r.l.,30000
14673,Warhammer: Mark of Chaos,2006,Strategy,Deep Silver,30000
14682,Schlag den Raab,2010,Misc,Namco Bandai Games,30000
14691,Cossacks: European Wars,2001,Strategy,Strategy First,30000
14698,Prince of Persia (2008),2008,Action,Ubisoft,30000
14704,Magicka,2011,Role-Playing,Paradox Interactive,30000
14705,Star Trek: The Game,2013,Action,Namco Bandai Games,30000
14712,X3: Terran Conflict,2008,Simulation,Deep Silver,30000
14724,King Arthur II,2011,Strategy,Paradox Interactive,30000
14725,Max Payne 2: The Fall of Max Payne,2003,Shooter,Take-Two Interactive,30000
14731,MySims,2008,Simulation,Electronic Arts,30000
14732,Guild Wars: Nightfall,2006,Role-Playing,NCSoft,30000
14746,RollerCoaster Tycoon 2: Triple Thrill Pack,2003,Strategy,Atari,30000
14755,Star Wars The Clone Wars: Republic Heroes,2009,Action,LucasArts,30000
14758,DiRT Rally,2016,Racing,Codemasters,30000
14770,The Sims 2: Bon Voyage,2007,Simulation,Electronic Arts,30000
14781,GRID Autosport,2014,Racing,Codemasters,30000
14783,Neverwinter Nights Diamond,2004,Role-Playing,Atari,30000
14784,Divinity II: Flames of Vengeance,2010,Role-Playing,DTP Entertainment,30000
14786,Battlefield 2142,2006,Shooter,Electronic Arts,30000
14788,Air Conflicts: Secret Wars,2011,Simulation,bitComposer Games,30000
14791,Lost Planet 2,2010,Shooter,Capcom,30000
14797,Bully: Scholarship Edition,2008,Action,Take-Two Interactive,30000
14799,Guild Wars,2005,Role-Playing,NCSoft,30000
14826,Captain Morgane and the Golden Turtle,2012,Adventure,Reef Entertainment,30000
14828,Age of Empires III: Gold Edition,2007,Strategy,Microsoft Game Studios,30000
14839,Dungeon Siege II,2005,Role-Playing,Microsoft Game Studios,30000
14844,SWAT 4,2005,Shooter,Vivendi Games,30000
14847,Magicka Collection,2011,Adventure,Unknown,30000
14857,The Lord of the Rings: Conquest,2009,Action,Electronic Arts,30000
14872,Battlestations: Pacific,2009,Strategy,Eidos Interactive,30000
14873,Neverwinter Nights 2,2006,Role-Playing,Atari,30000
14875,Battlefield 1942,2002,Shooter,Electronic Arts,30000
14878,X-Men Origins: Wolverine - Uncaged Edition,2009,Action,Activision,30000
14887,LEGO Pirates of the Caribbean: The Video Game,2011,Action,Disney Interactive Studios,30000
14889,Jurassic Park: Operation Genesis,2003,Simulation,Vivendi Games,30000
14917,Stronghold 2 Deluxe,2005,Strategy,Take-Two Interactive,20000
14921,Puppet Show 3: Lost Town,2011,Puzzle,Focus Home Interactive,20000
14922,Star Wars: Empire at War - Forces of Corruption,2006,Strategy,LucasArts,20000
14929,Ghost Pirates of Vooju Island,2009,Adventure,DTP Entertainment,20000
14933,ParaWorld,2006,Strategy,Deep Silver,20000
14934,Tropico Reloaded,2009,Strategy,Kalypso Media,20000
14936,Pharaoh,1998,Strategy,Vivendi Games,20000
14943,The Settlers: Rise of an Empire,2007,Strategy,Ubisoft,20000
14948,Warhammer Online: Age of Reckoning,2008,Role-Playing,GOA,20000
14963,LEGO Harry Potter: Years 1-4,2010,Action,Warner Bros. Interactive Entertainment,20000
14965,Viva Pinata,2007,Simulation,Microsoft Game Studios,20000
14969,Bus Simulator 16,2016,Simulation,Astragon,20000
14976,Demigod,2009,Strategy,Atari,20000
14984,Star Trek Online,2010,Role-Playing,Atari,20000
14996,Tropico 4: Modern Times,2012,Strategy,Kalypso Media,20000
14997,Europa Universalis III Complete,2008,Strategy,Paradox Interactive,20000
15007,Tom Clancy's Rainbow Six: Vegas 2,2008,Shooter,Ubisoft,20000
15017,SimCity Societies,2007,Simulation,Electronic Arts,20000
15020,Fishdom 2 Deluxe,2010,Puzzle,Rondomedia,20000
15026,Brothers in Arms: Hell's Highway,2008,Shooter,Ubisoft,20000
15029,Stronghold Crusader Extreme,2008,Strategy,Gamecock,20000
15034,Cities XL 2011,2010,Simulation,Focus Home Interactive,20000
15035,Kung Fu Panda,2008,Action,Activision,20000
15047,Street Fighter X Tekken,2012,Fighting,Capcom,20000
15049,Ceville,2009,Action,Kalypso Media,20000
15065,GT Legends,2005,Racing,Atari,20000
15068,F1 Race Stars,2012,Racing,Codemasters,20000
15072,Escape the Emerald Star,2011,Puzzle,PopCap Games,20000
15076,Falcon 4.0: Allied Force,2005,Simulation,Graphsim Entertainment,20000
15083,Unreal Anthology,2006,Shooter,Midway Games,20000
15084,X3: Terran War Pack,2012,Misc,Deep Silver,20000
15090,Tom Clancy's EndWar,2009,Strategy,Ubisoft,20000
15092,Left 4 Dead,2008,Shooter,Electronic Arts,20000
15093,Bejeweled 2 Deluxe,2006,Puzzle,Focus Home Interactive,20000
15097,DiRT,2007,Racing,Codemasters,20000
15108,Frontlines: Fuel of War,2008,Shooter,THQ,20000
15112,Grey's Anatomy: The Video Game,2009,Adventure,Ubisoft,20000
15124,Test Drive Unlimited,2007,Racing,Atari,20000
15125,SAW,2009,Action,Konami Digital Entertainment,20000
15130,Ice Age: Dawn of the Dinosaurs,2009,Action,Activision,20000
15134,Serious Sam HD: Gold Edition,2010,Shooter,Devolver Digital,20000
15137,Homeworld,1998,Strategy,Vivendi Games,20000
15141,Plants vs. Zombies: Garden Warfare,2014,Shooter,Electronic Arts,20000
15142,Max Payne,2001,Shooter,Take-Two Interactive,20000
15146,IL-2 Sturmovik: Forgotten Battles,2003,Simulation,Ubisoft,20000
15147,Overlord,2007,Strategy,Codemasters,20000
15148,Sacred 3,2014,Role-Playing,Deep Silver,20000
15153,Rocket League,2016,Sports,505 Games,16020000
15155,18 Wheels of Steel: Extreme Trucker,2009,Racing,Rondomedia,20000
15166,Cities in Motion Collection,2011,Simulation,Unknown,20000
15175,The Settlers IV,2001,Strategy,Blue Byte,20000
15177,Mount & Blade,2008,Role-Playing,Paradox Interactive,20000
15182,Mata Hari: Betrayal is only a Kiss Away,2008,Adventure,DTP Entertainment,20000
15185,Quake 4,2005,Shooter,Activision,20000
15186,Maximum Capacity: Hotel Giant,2002,Strategy,JoWood Productions,20000
15193,Fuel,2009,Racing,Codemasters,20000
15203,Indigo Prophecy,2005,Adventure,Atari,20000
15205,Tale of a Hero,2010,Adventure,Daedalic,20000
15208,FIFA Soccer 09,2008,Sports,Electronic Arts,20000
15209,The Lord of the Rings: The Battle for Middle-Earth II,2006,Strategy,Electronic Arts,20000
15212,So Blonde,2008,Adventure,Eidos Interactive,20000
15222,Legend: Hand of God,2007,Role-Playing,DTP Entertainment,20000
15232,Fallout Trilogy,2004,Role-Playing,Ubisoft,20000
15234,The Sims: Complete Collection,2005,Simulation,Electronic Arts,20000
15235,Command & Conquer 3: Deluxe Edition,2008,Strategy,Electronic Arts,20000
15237,Sacred Gold,2005,Role-Playing,Encore,20000
15252,Order of War,2009,Strategy,Square Enix,20000
15254,Painkiller,2004,Shooter,DreamCatcher Interactive,20000
15260,Spider-Man: Web of Shadows,2008,Action,Activision,20000
15270,Dungeon Defenders,2011,Role-Playing,Unknown,20000
15275,Command & Conquer: The First Decade,2006,Strategy,Electronic Arts,20000
15294,Stormrise,2009,Strategy,Sega,20000
15303,F1 2016 (Codemasters),2016,Racing,Codemasters,20000
15305,Spider-Man 3,2007,Platform,Activision,20000
15308,Rugby League Team Manager 2015,2015,Action,Alternative Software,20000
15310,The Lord of the Rings Online: Mines of Moria,2008,Role-Playing,Codemasters Online,20000
15312,War Leaders: Clash of Nations,2009,Strategy,CDV Software Entertainment,20000
15332,Hellgate: London,2007,Role-Playing,Electronic Arts,20000
15342,Homefront: The Revolution,2016,Shooter,Deep Silver,20000
15346,TOCA Race Driver 3,2006,Racing,Codemasters,20000
15347,Airport Simulator,2011,Simulation,Unknown,20000
15352,Oil Rush,2012,Strategy,Iceberg Interactive,20000
15380,The Sims 2: Happy Holiday Stuff,2006,Simulation,Electronic Arts,20000
15392,Ridge Racer Unbounded,2012,Racing,Namco Bandai Games,20000
15412,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,20000
15418,RollerCoaster Tycoon World,2016,Simulation,Atari,20000
15420,Trapped Dead,2011,Strategy,Iceberg Interactive,20000
15426,Littlest Pet Shop,2008,Simulation,Electronic Arts,20000
15430,The Sims 2: Family Fun Stuff,2006,Simulation,Electronic Arts,20000
15432,Worldwide Soccer Manager 2007,2006,Sports,Sega,20000
15433,Heroes of the Pacific,2005,Simulation,Codemasters,20000
15436,Mount & Blade: Warband,2010,Role-Playing,Paradox Interactive,5020000
15438,Dark Tales: Edgar Allan Poe's The Premature Burial,2012,Puzzle,Focus Multimedia,20000
15440,Resident Evil Zero,2016,Action,Capcom,20000
15444,Mini Ninjas,2009,Action,Eidos Interactive,20000
15446,NHL 09,2008,Sports,Electronic Arts,20000
15454,UFO: Trilogy,2007,Strategy,Unknown,20000
15455,Mount & Blade Collection,2012,Role-Playing,Paradox Interactive,20000
15457,Vietcong,2003,Shooter,Gathering of Developers,20000
15463,Starship Troopers,2005,Shooter,Empire Interactive,20000
15465,Crysis: Warhead,2008,Shooter,Electronic Arts,20000
15470,Atlantic Quest,2011,Puzzle,Avanquest,20000
15471,Tycoon City: New York,2006,Strategy,Atari,20000
15473,Agatha Christie: The ABC Murders,2016,Adventure,Microids,20000
15483,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,Activision,20000
15488,"Warhammer 40,000: Dawn of War: Soulstorm",2008,Strategy,THQ,20000
15495,Commandos 3: Destination Berlin,2003,Strategy,Eidos Interactive,20000
15498,Spirits and Demons: 5 Game Pack,2015,Misc,Focus Multimedia,20000
15513,Uru: Ages Beyond Myst,2003,Adventure,Ubisoft,20000
15520,X-Plane 10 Global,2013,Simulation,Aerosoft,20000
15525,WRC 2: FIA World Rally Championship,2011,Racing,Ubisoft,20000
15544,Legendary,2008,Shooter,Atari,20000
15566,Blood Bowl: Legendary Edition,2010,Sports,Focus Home Interactive,20000
15568,Pirates of the Burning Sea,2008,Role-Playing,Koch Media,20000
15574,WorldShift,2009,Strategy,Playlogic Game Factory,20000
15575,The Crew: Wild Run,2015,Action,Ubisoft,20000
15577,7 Roses: A Darkness Rises,2015,Misc,Avanquest Software,20000
15592,Peggle Nights,2008,Puzzle,PopCap Games,20000
15604,Command & Conquer 3: Kane's Wrath,2008,Strategy,Electronic Arts,20000
15608,James Bond 007: Blood Stone,2010,Shooter,Activision,20000
15612,Heavy Fire: Afghanistan,2011,Shooter,Mastiff,20000
15614,Agatha Christie: Death on the Nile,2008,Adventure,Big Fish Games,20000
15629,Tomb Raider: Legend,2006,Action,Eidos Interactive,20000
15636,Combat Flight Simulator 3: Battle for Europe,2002,Simulation,Microsoft Game Studios,20000
15642,Lara Croft and the Temple of Osiris,2014,Action,Square Enix,20000
15643,Final Fantasy XIV: Heavensward,2015,Action,Square Enix,20000
15654,Airline Tycoon,2000,Simulation,Interplay,20000
15657,Bejeweled Blitz,2010,Puzzle,Mastertronic,20000
15661,Song of the Deep,2016,Action,Insomniac Games,20000
15674,Unreal Tournament 2004,2004,Shooter,Atari,20000
15682,The Longest Journey,1999,Adventure,Empire Interactive,20000
15684,Stronghold Legends,2006,Strategy,Take-Two Interactive,20000
15695,Syberia II,2004,Adventure,MC2 Entertainment,20000
15698,Dungeons - The Dark Lord,2011,Strategy,Kalypso Media,20000
15702,Lost: Via Domus,2008,Action,Ubisoft,20000
15711,Post Mortem,2003,Adventure,Microids,20000
15728,Disciples III: Renaissance,2010,Strategy,Kalypso Media,20000
15729,Revolution: 25th Anniversary Collection,2016,Adventure,Koch Media,20000
15744,Elven Legacy Collection,2010,Strategy,Paradox Interactive,20000
15748,LEGO Star Wars II: The Original Trilogy,2006,Action,Activision,20000
15751,Just Cause,2006,Action,Eidos Interactive,20000
15753,Blazing Angels: Squadrons of WWII,2006,Simulation,Ubisoft,20000
15766,Divinity: Original Sin,2014,Role-Playing,Focus Home Interactive,20000
15770,Still Life 2,2009,Adventure,Rondomedia,20000
15780,Worms World Party,2001,Strategy,Virgin Interactive,20000
15784,Gears of War,2007,Shooter,Microsoft Game Studios,20000
15788,Colin McRae Rally 2005,2004,Racing,Codemasters,20000
15790,LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,20000
15792,Dark Void,2010,Action,Capcom,20000
15798,Star Trek: Legacy,2006,Simulation,Ubisoft,20000
15800,Wall-E,2008,Platform,THQ,20000
15816,Achtung Panzer: Kharkov 1943,2010,Strategy,Mamba Games,20000
15821,Command & Conquer 4: Tiberian Twilight,2010,Strategy,Electronic Arts,20000
15822,The Incredibles: Rise of the Underminer,2005,Action,THQ,20000
15824,Farm Frenzy,2008,Strategy,Mumbo Jumbo,20000
15827,A Vampyre Story,2008,Adventure,Crimson Cow,20000
15831,The Haunted: Hell's Reach,2011,Shooter,Visco,20000
15837,Majesty 2 Collection,2011,Strategy,Paradox Interactive,20000
15838,Sniper Elite,2005,Shooter,MC2 Entertainment,20000
15839,The Dark Hills of Cherai,2009,Puzzle,Unknown,20000
15840,FIFA Soccer 08,2007,Sports,Electronic Arts,20000
15851,Joint Operations: Combined Arms,2009,Shooter,NovaLogic,20000
15858,Drakensang: The Dark Eye,2009,Role-Playing,Eidos Interactive,20000
15861,DuckTales: Remastered,2013,Action,Capcom,20000
15863,Contrast,2013,Platform,Focus Home Interactive,20000
15872,Elven Legacy,2009,Strategy,Paradox Interactive,20000
15877,Majesty 2: The Fantasy Kingdom Sim,2009,Simulation,Paradox Interactive,20000
15883,Command & Conquer Collection,2003,Strategy,Electronic Arts,20000
15891,Worldwide Soccer Manager 2006,2004,Sports,Sega,20000
15898,Enemy Territory: Quake Wars,2007,Shooter,Activision,20000
15900,The Sims 4: Luxury Party Stuff,2015,Simulation,Electronic Arts,20000
15915,Evil Genius,2004,Strategy,Vivendi Games,20000
15926,Pillars of Eternity,2014,Role-Playing,Paradox Interactive,20000
15927,RollerCoaster Tycoon: Gold Edition,2002,Strategy,Infogrames,20000
15959,Guild Wars: Factions,2006,Role-Playing,NCSoft,20000
15965,Imperium Romanum,2008,Strategy,Kalypso Media,20000
15966,Ship Simulator 2008,2007,Simulation,Lighthouse Interactive,20000
15968,Sengoku,2011,Strategy,Paradox Interactive,20000
15971,IGT Slots: Lucky Larry's Lobstermania,2011,Simulation,Masque Publishing,20000
15978,You Don't Know Jack,1995,Misc,Vivendi Games,20000
15983,Turok,2008,Action,Touchstone,10000
15998,Football Manager Live,2009,Sports,Sega,10000
16002,Mortal Kombat,1994,Fighting,Acclaim Entertainment,10000
